date,case,matched_after
2024-02-01-00,RoVISTA,0.49925653911606166
2024-02-02-00,RoVISTA,0.4593832471855326
2024-02-03-00,RoVISTA,0.4683583667010793
2024-02-04-00,RoVISTA,0.4683412987448626
2024-02-05-00,RoVISTA,0.46812509395590246
2024-02-06-00,RoVISTA,0.46871508125725575
2024-02-07-00,RoVISTA,0.46944580291729604
2024-02-08-00,RoVISTA,0.4701934843548724
2024-02-09-00,RoVISTA,0.47054498665597627
2024-02-10-00,RoVISTA,0.4704854649697049
2024-02-11-00,RoVISTA,0.4711335846093843
2024-02-12-00,RoVISTA,0.4706963878563596
2024-02-13-00,RoVISTA,0.47443877908388743
2024-02-14-00,RoVISTA,0.47348050962827654
2024-02-15-00,RoVISTA,0.47392464971145876
